Comment,Designator,Footprint,LCSC
EVQQ2,SW1,k2-1808 pushbutton switch,
18p,C38,C0603,
TL072,IC6,SO08,
100n,C20,C0603,
2.2k,R25,R0603,
200k,R20,R0603,
47u,C1,PANASONIC_D,
100n,C5,C0603,
18p,C10,C0603,
100k,R18,R0603,
TEST-POINT3X5,TP2,PAD.03X.05,
12.288MHz,Q2,Crystal_SMD_5032-4Pin_5.0x3.2mm,
WP115VEGW,LED2,LED-BICOLOR-THROUGHHOLE,
200k,R32,R0603,
4.7k,R6,R0603,
TEST-POINT3X5,TP1,PAD.03X.05,
PJ301_THONKICONN6,J2,WQP_PJ_301M6,
100k,R9,R0603,
1N5819HW,D2,SOD123,
100n,C31,C0603,
100,R5,R0603,
4.7,R1,R1206,
WM8731,IC5,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,
18p,C26,C0603,
100n,C40,C0603,
PJ301_THONKICONN6,J3,WQP_PJ_301M6,
47k,R33,R0603,
100n,C21,C0603,
47k,R30,R0603,
100n,C42,C0603,
1u,C15,C0603,
33k,R16,R0603,
100n,C30,C0603,
100n,C24,C0603,
4.7n,C14,C0603,
MCP6004,IC3,SO14,
100n,C25,C0603,
18p,C41,C0603,
47u,C4,PANASONIC_D,
2.2k,R24,R0603,
47k,R31,R0603,
10kB,R26,ALPS_POT_VERTICAL,
FIDUCIAL1X2,F4,FIDUCIAL-1X2,
10k,R2,R0603,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
DNP,R41,R0603,
100n,C34,C0603,
1.0k,R43,R0603,
100n,C13,C0603,
100k,R17,R0603,
2.2u,C19,C0805,
4.7n,C12,C0603,
36k,R37,R0603,
2.2u,C22,C0805,
100k,R8,R0603,
8MHz,Q1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
10u,C39,PANASONIC_B,
47u,C2,PANASONIC_D,
36k,R12,R0603,
220p,C44,C0603,
1u,C27,C0603,
PJ301_THONKICONN6,J1,WQP_PJ_301M6,
36k,R38,R0603,
220p,C45,C0603,
100n,C17,C0603,
10u,C29,PANASONIC_B,
200k,R35,R0603,
10kB,R23,ALPS_POT_VERTICAL_PS,
6.8k,R34,R0603,
100n,C6,C0603,
18p,C11,C0603,
TEST-POINT3X5,TP4,PAD.03X.05,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
10u,C23,PANASONIC_B,
BAT54S,D3,SOT23,
1.0k,R42,R0603,
47k,R28,R0603,
LM4040B10,IC2,DBZ_R-PDSO-G3,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
TEST-POINT3X5,TP3,PAD.03X.05,
120k,R10,R0603,
WP154A4SUREQBFZG,LED1,LED-TRICOLOR-THROUGHHOLE,
100n,C18,C0603,
PJ301_THONKICONN6,J5,WQP_PJ_301M6,
47u,C3,PANASONIC_D,
100n,C9,C0603,
33k,R15,R0603,
TAC_SWITCHPTH,SW3,TACTILE-PTH,
WE-CBF_0603,L2,0603,
STM32F405RGT6,IC4,TQFP-10X10-64,
180,R22,R0603,
100n,C28,C0603,
LM1117-3.3,IC1,TO252,
6.8k,R39,R0603,
100n,C16,C0603,
WE-CBF_0603,L1,0603,
180,R21,R0603,
DNP,R40,R0603,
10u,C43,PANASONIC_B,
100,R3,R0603,
36k,R13,R0603,
PJ301_THONKICONN6,J8,WQP_PJ_301M6,
FIDUCIAL1X2,F1,FIDUCIAL-1X2,
10u,C36,PANASONIC_B,
10kB,R27,ALPS_POT_VERTICAL,
6.8k,R29,R0603,
4.7n,C8,C0603,
EVQQ2,SW2,k2-1808 pushbutton switch,
4.7n,C7,C0603,
10u,C32,PANASONIC_B,
200k,R19,R0603,
WE-CBF_0603,L3,0603,
10kB,R7,ALPS_POT_VERTICAL_PS,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
1N5819HW,D1,SOD123,
120k,R11,R0603,
6.8k,R36,R0603,
10u,C37,PANASONIC_B,
100,R4,R0603,
FIDUCIAL1X2,F2,FIDUCIAL-1X2,
18p,C35,C0603,
10k,R14,R0603,
100n,C33,C0603,
M05X2MINIJTAG,JP1,2X5-1.27,
M05X2PTH,JP3,AVR_ICSP,
M06SIP,JP2,1X06,
